Sample	Category
SRR4006724	Cultivar
SRR4006725	Cultivar
SRR4006726	Cultivar
SRR4006727	Cultivar
SRR4006728	Cultivar
SRR4006730	Cultivar
SRR4006731	Cultivar
SRR4006732	Cultivar
SRR4006733	Cultivar
SRR4006734	Cultivar
SRR4006735	Cultivar
SRR4006737	Cultivar
SRR4006738	Cultivar
SRR4006740	Cultivar
SRR4013321	Cultivar
SRR4013322	Cultivar
SRR4013323	Cultivar
SRR4013324	Cultivar
SRR4013325	Cultivar
SRR4013326	Cultivar
SRR4013327	Cultivar
SRR4013328	Cultivar
SRR4013329	Cultivar
SRR4013330	Cultivar
SRR4013614	Cultivar
SRR4013615	Cultivar
SRR4013616	Cultivar
SRR4013617	Cultivar
SRR4013618	Cultivar
SRR4013619	Cultivar
SRR4013620	Cultivar
SRR4013621	Cultivar
SRR4013622	Cultivar
SRR4013623	Cultivar
SRR4013624	Cultivar
SRR4013625	Cultivar
SRR4013626	Cultivar
SRR4013627	Cultivar
SRR4013628	Cultivar
SRR4013629	Cultivar
SRR4013630	Cultivar
SRR4013631	Cultivar
SRR4013632	Cultivar
SRR4013633	Cultivar
SRR4013850	Cultivar
SRR4013875	Cultivar
SRR4013876	Cultivar
SRR4013885	Cultivar
SRR4013886	Cultivar
SRR4013887	Cultivar
