SampleID,SampleID2,Name,Type1,Gene Pool,Country,State,City,Lat2,Lon2,Type
phy76,phy76,PHY 76 Pima,Cultivar,,United States,California,,37.26,-119.62,Cultivar
P221GB0074,GB0074,GB0074,Wild/Landrace,,Peru,,,-9.19,-75.02,Lanrace2
P211GB0236,GB0236,GB0236,Cultivar,,Egypt,,,26.82,30.80,Cultivar
P221GB0287,GB0287,GB0287,Wild/Landrace,,Honduras,Punta Gorda,,16.32,-86.54,Lanrace2
P221GB0362,GB0362,GB0362,Wild/Landrace,,Brazil,,,-14.24,-51.93,Lanrace2
P221GB0369,GB0369,GB0369,Wild/Landrace,,Colombia,,,4.57,-74.30,Lanrace1
P221GB0385,GB0385,GB0385,Wild/Landrace,,Venezuela,,,6.42,-66.59,Lanrace2
P221GB0398,GB0398,GB0398,Wild/Landrace,,Peru,,,-9.19,-75.02,Lanrace2
P221GB0411,GB0411,GB0411,Wild/Landrace,,Peru,,,-9.19,-75.02,Lanrace1
P221GB0414,GB0414,GB0414,Wild/Landrace,,Peru,,,-9.19,-75.02,Lanrace1
P221GB0427,GB0427,GB0427,Wild/Landrace,,Brazil,,,-14.24,-51.93,Lanrace2
P221GB0618,GB0618,GB0618,Wild/Landrace,,Ecuador,Guayas,,-1.96,-79.92,Lanrace2
P211DP0340,Deltapine-340,Deltapine-340,Cultivar,,USA,Arizona,,32.78,-110.42,Cultivar
P211PHY76,Phytogen-76,Phytogen-76,Cultivar,,USA,California,,36.78,-119.42,Cultivar
P214GB1030,G. barbadense Pima S6,G. barbadense Pima S6,Cultivar,,United States,Arizona,,34.05,-111.09,Cultivar
P224K101,G. barbadense K101,G. barbadense K101,Wild/Landrace,,Bolivia,,,-16.71,-64.66,Lanrace2
P216JunH1,Junhai 1#,Junhai 1#,Cultivar,,China,,,40.00,82.00,Cultivar
