ID,UniqueID,ID_Name,SampleID,SampleName,PI,SRA ID,Species,Type,Latitude,Longitude,Country,State/Province,Place,Region,Races,BamFileName,Memo,,,
340,PL115273,P115HAU273,HAU273,gznn1-1,,SRR4018974,AD1,Cultivar,39.9138,116.3636,China,China,,,,SRR4018974,,,,
341,PL115274,P115HAU274,HAU274,GZNn2-1,,SRR4018975,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018975,,,,
342,PL115275,P115HAU275,HAU275,Xinxiangxiaoji,,SRR4018976,AD1,Cultivar,34.2904,113.3824,China,Henan,,YellowRiver,,SRR4018976,,,,
343,PL115276,P115HAU276,HAU276,N,,SRR4018977,AD1,Cultivar,39.9138,116.3636,China,China,,,,SRR4018977,,,,
344,PL115277,P115HAU277,HAU277,XuzhouGD-1,,SRR4018978,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018978,,,,
345,PL115278,P115HAU278,HAU278,XuzhouGD-2,,SRR4018979,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018979,,,,
346,PL115279,P115HAU279,HAU279,XuzhouGD-3,,SRR4018980,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018980,,,,
347,PL115280,P115HAU280,HAU280,XuzhouGD-4,,SRR4018981,AD1,Cultivar,33.1402,119.7889,China,Jiangsu,,YangtzeRiver,,SRR4018981,,,,
348,PL115281,P115HAU281,HAU281,Ycyfl,,SRR4018982,AD1,Cultivar,42.8246,89.0396,China,Xinjiang,,XinJiang,,SRR4018982,,,,
349,PL116004,P116Cok139,Cok139,Coker 139,PI601389,SRS705557,AD1,Cultivar,37.0902,-95.7129,United States,,,,,Coker139,Cultivar,SAMN03002201,,SRR1580586
350,PL116006,P116D531C,D531C,Delfos 531C,PI528656 ,SRS705559,AD1,Cultivar,37.0902,-95.7129,United States,,,,,SRR1580589,Cultivar,SAMN03002203,,SRR1580589
351,PL116007,P116DixieK,DixieK,Dixie King,PI529021 ,SRS705560,AD1,Cultivar,37.0902,-95.7129,United States,,,,,SRR1580590,Cultivar,SAMN03002204,,SRR1580590
352,PL116035,P116SuM12,SuM12,Sumian 12#,,SRS705588,AD1,Cultivar,39.9138,116.3636,China,,,,,SRS705588,Cultivar,SAMN03002233,,SRR1580627
353,PL216121,P216JunH1,JunH1,Junhai 1#,,SRS705674,AD2,Cultivar,40.0000,82.0000,China,,,,,SRS705674,Cultivar,SAMN03002319,,SRR1580763
354,PL117178,P117CIR7,CIR7,CIR 7#,,SRS2168414,AD1,Cultivar,39.9138,116.3636,China,,,China,,SRS2168414,ZM-01045,SAMN06348692,SRX2786412,SRR5512442
355,PL117179,P117SiM3,SiM3,Simian 3#,,SRS2168415,AD1,Cultivar,39.9138,116.3636,China,,,China,,SRS2168415,ZM113963,SAMN06348693,SRX2786413,SRR5512443
356,PL117181,P117SiM2,SiM2,Simian 2#,,SRS2168417,AD1,Cultivar,39.9138,116.3636,China,,,China,,SRS2168417,ZM003304,SAMN06348694,SRX2786415,SRR5512445
357,PL117182,P117XLZ42,XLZ42,Xinluzao 42#,,SRS2168418,AD1,Cultivar,39.9138,116.3636,China,,,China,,SRS2168418,ZM115186,SAMN06348695,SRX2786416,SRR5512446
358,PL117183,P117C86,C86,86-1.2,,SRS2168419,AD1,Cultivar,39.9138,116.3636,China,,,Yellow river,,SRS2168419,ZM001746,SAMN06348696,SRX2786417,SRR5512447
359,PL117184,P117DP15,DP15,Deltapine 15,,SRS2168420,AD1,Cultivar,37.0902,-95.7129,United States,,,,,SRS2168420,ZM006113,SAMN06348697,SRX2786418,SRR5512448
360,PL117185,P117ST2B,ST2B,Stoneville 2B,,SRS2168421,AD1,Cultivar,37.0902,-95.7129,United States,,,,,SRS2168421,ZM006249,SAMN06348698,SRX2786419,SRR5512449
361,PL117186,P117SY321,SY321,Shiyuan 321,,SRS2168422,AD1,Cultivar,39.9138,116.3636,China,,,China,,SRS2168422,ZM113951,SAMN06348699,SRX2786420,SRR5512450
362,PL117187,P117JunM1,JunM1,Junmian 1#,,SRS2168423,AD1,Cultivar,39.9138,116.3636,China,,,China,,SRS2168423,ZM005018,SAMN06348700,SRX2786421,SRR5512451
363,PL117188,P117J8891,J8891,J8891,,SRS2168425,AD1,Cultivar,,,,,,,,SRS2168425,,SAMN06348701,SRX2786422,SRR5512452
364,PL117189,P117CIR12,CIR12,CIR 12#,,SRS2168424,AD1,Cultivar,39.9138,116.3636,China,,,China,,SRS2168424,ZM030345,SAMN06348702,SRX2786423,SRR5512453
