SortID,ID,Type,Latitude,Longitude,Public
252,DIV_206,Cultivar,30.63,-96.33,No
253,DIV_209,Cultivar,30.63,-96.33,No
257,DIV_237,Cultivar,30.63,-96.33,No
272,DIV_347,Cultivar,30.63,-96.33,No
273,DIV_351,Cultivar,30.63,-96.33,No
285,DIV_048,Cultivar,30.63,-96.33,No
331,SA-1006,Cultivar,30.63,-96.33,No
332,SA-1019,Cultivar,30.63,-96.33,No
336,SA-1138,Cultivar,30.63,-96.33,No
337,SA-1139,Cultivar,30.63,-96.33,No
369,SA-1694,Cultivar,30.63,-96.33,No
370,SA-1703,Cultivar,30.63,-96.33,No
371,SA-1710,Cultivar,30.63,-96.33,No
379,SA-2269,Cultivar,30.63,-96.33,No
457,P114TM1,Cultivar,30.63,-96.33,Yes
460,P115HAU001,Cultivar,30.74,112.24,Yes
466,P115HAU007,Cultivar,30.74,112.24,Yes
500,P115HAU041,Cultivar,30.74,112.24,Yes
501,P115HAU042,Cultivar,30.74,112.24,Yes
502,P115HAU043,Cultivar,30.74,112.24,Yes
503,P115HAU044,Cultivar,30.74,112.24,Yes
504,P115HAU045,Cultivar,30.74,112.24,Yes
505,P115HAU046,Cultivar,30.74,112.24,Yes
507,P115HAU048,Cultivar,30.74,112.24,Yes
508,P115HAU049,Cultivar,30.74,112.24,Yes
510,P115HAU051,Cultivar,30.74,112.24,Yes
511,P115HAU052,Cultivar,30.74,112.24,Yes
512,P115HAU053,Cultivar,30.74,112.24,Yes
513,P115HAU054,Cultivar,30.74,112.24,Yes
514,P115HAU055,Cultivar,30.74,112.24,Yes
515,P115HAU056,Cultivar,30.74,112.24,Yes
516,P115HAU057,Cultivar,30.74,112.24,Yes
517,P115HAU058,Cultivar,30.74,112.24,Yes
527,P115HAU068,Cultivar,30.74,112.24,Yes
531,P115HAU072,Cultivar,30.74,112.24,Yes
532,P115HAU073,Cultivar,30.74,112.24,Yes
534,P115HAU075,Cultivar,30.74,112.24,Yes
535,P115HAU076,Cultivar,30.74,112.24,Yes
540,P115HAU081,Cultivar,30.74,112.24,Yes
550,P115HAU091,Cultivar,30.74,112.24,Yes
713,P115HAU260,Cultivar,30.74,112.24,Yes
248,DIV_176,Cultivar,30.98,-91.96,No
243,DIV_134,Cultivar,31.97,-99.90,No
246,DIV_144,Cultivar,31.97,-99.90,No
247,DIV_169,Cultivar,31.97,-99.90,No
269,DIV_316,Cultivar,31.97,-99.90,No
270,DIV_319,Cultivar,31.97,-99.90,No
280,DIV_245,Cultivar,31.97,-99.90,No
291,DIV_199,Cultivar,31.97,-99.90,No
298,DIV_289,Cultivar,31.97,-99.90,No
459,P114SA3783,Cultivar,31.97,-99.90,Yes
361,SA-1428,Cultivar,32.06,118.80,No
342,SA-1205,Cultivar,32.17,-82.90,No
386,SA-2580,Cultivar,32.32,-106.76,No
289,DIV_119,Cultivar,32.45,-89.47,No
266,DIV_298,Cultivar,32.59,-85.50,No
329,SA-0965,Cultivar,32.59,-85.50,No
314,SA-0300,Cultivar,32.71,-96.01,No
233,DIV_012,Cultivar,33.08,-111.74,No
250,DIV_184,Cultivar,33.08,-111.74,No
278,DIV_373,Cultivar,33.08,-111.74,No
288,DIV_074,Cultivar,33.08,-111.74,No
312,SA-0238,Cultivar,33.08,-111.74,No
313,SA-0298,Cultivar,33.08,-111.74,No
362,SA-1455,Cultivar,33.08,-111.74,No
363,SA-1456,Cultivar,33.08,-111.74,No
509,P115HAU050,Cultivar,33.14,119.79,Yes
518,P115HAU059,Cultivar,33.14,119.79,Yes
519,P115HAU060,Cultivar,33.14,119.79,Yes
520,P115HAU061,Cultivar,33.14,119.79,Yes
521,P115HAU062,Cultivar,33.14,119.79,Yes
522,P115HAU063,Cultivar,33.14,119.79,Yes
523,P115HAU064,Cultivar,33.14,119.79,Yes
524,P115HAU065,Cultivar,33.14,119.79,Yes
525,P115HAU066,Cultivar,33.14,119.79,Yes
526,P115HAU067,Cultivar,33.14,119.79,Yes
528,P115HAU069,Cultivar,33.14,119.79,Yes
537,P115HAU078,Cultivar,33.14,119.79,Yes
583,P115HAU124,Cultivar,33.14,119.79,Yes
584,P115HAU125,Cultivar,33.14,119.79,Yes
588,P115HAU129,Cultivar,33.14,119.79,Yes
605,P115HAU146,Cultivar,33.14,119.79,Yes
619,P115HAU160,Cultivar,33.14,119.79,Yes
620,P115HAU161,Cultivar,33.14,119.79,Yes
653,P115HAU197,Cultivar,33.14,119.79,Yes
654,P115HAU198,Cultivar,33.14,119.79,Yes
655,P115HAU199,Cultivar,33.14,119.79,Yes
670,P115HAU214,Cultivar,33.14,119.79,Yes
671,P115HAU215,Cultivar,33.14,119.79,Yes
672,P115HAU216,Cultivar,33.14,119.79,Yes
673,P115HAU218,Cultivar,33.14,119.79,Yes
687,P115HAU234,Cultivar,33.14,119.79,Yes
688,P115HAU235,Cultivar,33.14,119.79,Yes
689,P115HAU236,Cultivar,33.14,119.79,Yes
722,P115HAU269,Cultivar,33.14,119.79,Yes
723,P115HAU270,Cultivar,33.14,119.79,Yes
730,P115HAU277,Cultivar,33.14,119.79,Yes
731,P115HAU278,Cultivar,33.14,119.79,Yes
732,P115HAU279,Cultivar,33.14,119.79,Yes
733,P115HAU280,Cultivar,33.14,119.79,Yes
458,P114SA1466,Cultivar,33.42,-90.92,Yes
251,DIV_195,Cultivar,33.42,-90.92,No
277,DIV_380,Cultivar,33.42,-90.92,No
282,DIV_033,Cultivar,33.42,-90.92,No
283,DIV_030,Cultivar,33.42,-90.92,No
315,SA-0311,Cultivar,33.42,-90.92,No
338,SA-1156,Cultivar,33.42,-90.92,No
364,SA-1465,Cultivar,33.42,-90.92,No
390,SA-2895,Cultivar,33.44,-101.64,No
367,SA-1604,Cultivar,33.46,-88.79,No
428,P111HS26,Cultivar,33.58,-101.86,Yes
382,SA-2374,Cultivar,33.84,-81.16,No
258,DIV_246,Cultivar,34.18,-101.71,No
295,DIV_243,Cultivar,34.18,-101.71,No
456,P114SA0592,Cultivar,34.20,-79.76,Yes
267,DIV_306,Cultivar,34.20,-79.76,No
268,DIV_308,Cultivar,34.20,-79.76,No
300,DIV_310,Cultivar,34.20,-79.76,No
301,DIV_305,Cultivar,34.20,-79.76,No
302,DIV_307,Cultivar,34.20,-79.76,No
303,DIV_364,Cultivar,34.20,-79.76,No
366,SA-1596,Cultivar,34.20,-79.76,No
378,SA-2260,Cultivar,34.20,-79.76,No
259,DIV_249,Cultivar,34.24,-79.81,No
260,DIV_255,Cultivar,34.24,-79.81,No
261,DIV_256,Cultivar,34.24,-79.81,No
262,DIV_263,Cultivar,34.24,-79.81,No
263,DIV_264,Cultivar,34.24,-79.81,No
264,DIV_269,Cultivar,34.24,-79.81,No
265,DIV_272,Cultivar,34.24,-79.81,No
296,DIV_260,Cultivar,34.24,-79.81,No
297,DIV_273,Cultivar,34.24,-79.81,No
368,SA-1665,Cultivar,34.24,-79.81,No
451,P113YuM11,Cultivar,34.29,113.38,Yes
453,P113YM2067,Cultivar,34.29,113.38,Yes
463,P115HAU004,Cultivar,34.29,113.38,Yes
465,P115HAU006,Cultivar,34.29,113.38,Yes
488,P115HAU029,Cultivar,34.29,113.38,Yes
489,P115HAU030,Cultivar,34.29,113.38,Yes
490,P115HAU031,Cultivar,34.29,113.38,Yes
552,P115HAU093,Cultivar,34.29,113.38,Yes
553,P115HAU094,Cultivar,34.29,113.38,Yes
554,P115HAU095,Cultivar,34.29,113.38,Yes
555,P115HAU096,Cultivar,34.29,113.38,Yes
556,P115HAU097,Cultivar,34.29,113.38,Yes
557,P115HAU098,Cultivar,34.29,113.38,Yes
558,P115HAU099,Cultivar,34.29,113.38,Yes
559,P115HAU100,Cultivar,34.29,113.38,Yes
561,P115HAU102,Cultivar,34.29,113.38,Yes
562,P115HAU103,Cultivar,34.29,113.38,Yes
563,P115HAU104,Cultivar,34.29,113.38,Yes
564,P115HAU105,Cultivar,34.29,113.38,Yes
565,P115HAU106,Cultivar,34.29,113.38,Yes
566,P115HAU107,Cultivar,34.29,113.38,Yes
567,P115HAU108,Cultivar,34.29,113.38,Yes
568,P115HAU109,Cultivar,34.29,113.38,Yes
569,P115HAU110,Cultivar,34.29,113.38,Yes
570,P115HAU111,Cultivar,34.29,113.38,Yes
577,P115HAU118,Cultivar,34.29,113.38,Yes
595,P115HAU136,Cultivar,34.29,113.38,Yes
604,P115HAU145,Cultivar,34.29,113.38,Yes
667,P115HAU211,Cultivar,34.29,113.38,Yes
691,P115HAU238,Cultivar,34.29,113.38,Yes
692,P115HAU239,Cultivar,34.29,113.38,Yes
693,P115HAU240,Cultivar,34.29,113.38,Yes
694,P115HAU241,Cultivar,34.29,113.38,Yes
695,P115HAU242,Cultivar,34.29,113.38,Yes
696,P115HAU243,Cultivar,34.29,113.38,Yes
697,P115HAU244,Cultivar,34.29,113.38,Yes
698,P115HAU245,Cultivar,34.29,113.38,Yes
699,P115HAU246,Cultivar,34.29,113.38,Yes
703,P115HAU250,Cultivar,34.29,113.38,Yes
712,P115HAU259,Cultivar,34.29,113.38,Yes
727,P115HAU274,Cultivar,34.29,113.38,Yes
728,P115HAU275,Cultivar,34.29,113.38,Yes
241,DIV_079,Cultivar,34.37,-80.07,No
341,SA-1184,Cultivar,34.37,-80.07,No
429,P112AU,Cultivar,34.52,105.87,Yes
306,SA-0033,Cultivar,34.52,-105.87,No
235,DIV_040,Cultivar,34.77,-90.76,No
320,SA-0718,Cultivar,34.77,-90.76,No
333,SA-1044,Cultivar,35.05,-97.94,No
357,SA-1419,Cultivar,35.30,113.93,No
281,DIV_007,Cultivar,35.50,-119.27,No
340,SA-1181,Cultivar,35.50,-119.27,No
375,SA-1845,Cultivar,35.50,-119.27,No
376,SA-1913,Cultivar,35.50,-119.27,No
377,SA-2057,Cultivar,35.50,-119.27,No
393,SA-3193,Cultivar,35.50,-119.27,No
593,P115HAU134,Cultivar,35.75,104.29,Yes
594,P115HAU135,Cultivar,35.75,104.29,Yes
255,DIV_230,Cultivar,35.76,-79.02,No
244,DIV_136,Cultivar,35.78,-78.64,No
293,DIV_226,Cultivar,35.78,-78.64,No
358,SA-1420,Cultivar,35.86,104.20,No
437,P113LuM378,Cultivar,35.89,117.92,Yes
